doc_name,date,auteur,titre,fabula,gender,mort_auteur,canon
1991_Vargas-Fred_L-homme-aux-cercles-bleus,1991,fred vargas,l homme aux cercles bleus,False,female,20--,non-canon
1991_Boileau-Narcejac_La-main-passe,1991,narcejac boileau,la main passe,False,male,1989,non-canon
1991_Modiano-Patrick_Fleurs-de-ruine,1991,patrick modiano,fleurs de ruine,True,male,20--,canon
1991_Perec-Georges_Cantatrix-Sopranica-L-Et-Autres-Ecrits-Scientifiques,1991,georges perec,cantatrix sopranica l et autres ecrits scientifiques,True,male,1982,canon
1991_Quignard-Pascal_Tous-Les-Matins-Du-Monde,1991,pascal quignard,tous les matins du monde,True,male,XXXX,canon
1991_Sagan-Françoise_Les-Faux-fuyants,1991,françoise sagan,les faux fuyants,False,female,2004,non-canon
1991_Gailly-Christian_L-Air,1991,christian gailly,l air,False,male,2013,non-canon
1992_Bergounioux-Pierre_L-orphelin,1992,pierre bergounioux,l orphelin,True,male,20--,canon
1992_Echenoz-Jean_Nous-trois,1992,jean echenoz,nous trois,True,male,20--,canon
1992_Nothomb-Amelie_Hygiene-de-l-assassin,1992,amelie nothomb,hygiene de l assassin,True,female,20--,canon
1992_Germain-Sylvie_La-pleurante-des-rues-de-Prague,1992,sylvie germain,la pleurante des rues de prague,True,female,20--,canon
1992_Le-Linda_Les-Evangiles-du-crime,1992,linda le,les evangiles du crime,True,female,20--,canon
1992_Bergounioux-Pierre_Le-matin-des-origines,1992,pierre bergounioux,le matin des origines,True,male,20--,canon
1992_Modiano-Patrick_Un-cirque-passe,1992,patrick modiano,un cirque passe,True,male,20--,canon
1993_Rouaud-Jean_Des-hommes-illustres,1993,jean rouaud,des hommes illustres,True,male,20--,canon
1993_Modiano-Patrick_Chien-de-printemps,1993,patrick modiano,chien de printemps,True,male,20--,canon
1993_Carrere-Emmanuel_je-suis-vivant-et-vous-etes-morts,1993,emmanuel carrere,je suis vivant et vous etes morts,True,male,20--,canon
1993_Bergounioux-Pierre_Le-Grand-Sylvain,1993,pierre bergounioux,le grand sylvain,True,male,20--,canon
1993_Daeninckx-Didier_Autres-lieux-et-autres-nouvelles,1993,didier daeninckx,autres lieux et autres nouvelles,True,male,20--,canon
1993_Chevillard-Eric_La-nebuleuse-du-Crabe,1993,eric chevillard,la nebuleuse du crabe,True,male,XXXX,canon
1993_Villard-Marc_La-porte-de-derriere,1993,marc villard,la porte de derriere,False,male,20--,non-canon
1993_Hemon-Louis_Ecrits-sur-le-Quebec,1993,louis hemon,ecrits sur le quebec,False,male,1913,non-canon
1993_Rolin-Olivier_L-Invention-du-monde,1993,olivier rolin,l invention du monde,True,male,20--,canon
1993_Germain-Sylvie_Immensites,1993,sylvie germain,immensites,True,female,20--,canon
1994_Jonquet-Thierry_La-vie-de-ma-mere,1994,thierry jonquet,la vie de ma mere,False,male,2009,non-canon
1994_Bergounioux-Pierre_La-Toussaint,1994,pierre bergounioux,la toussaint,True,male,20--,canon
1994_Rolin-Olivier_Port-Soudan,1994,olivier rolin,port soudan,True,male,20--,canon
1994_Camus-Albert_Le-premier-homme,1994,albert camus,le premier homme,True,male,1960,canon
1994_Grange-Jean-Christophe_Le-vol-des-cigognes,1994,jean christophe grange,le vol des cigognes,False,male,20--,non-canon
1994_Laurent-Jacques_Croire-a-Noel,1994,jacques laurent,croire a noel,False,male,2000,non-canon
1994_Volodine-Antoine_Le-nom-des-singes,1994,antoine volodine,le nom des singes,True,male,20--,canon
1994_Millet-Richard_Un-balcon-a-Beyrouth,1994,richard millet,un balcon a beyrouth,True,male,20--,canon
1994_Bove-Emmanuel_Memoires-d-un-homme-singulier,1994,emmanuel bove,memoires d un homme singulier,False,male,1945,non-canon
1994_Houellebecq-Michel_Extension-du-domaine-de-la-lutte,1994,michel houellebecq,extension du domaine de la lutte,True,male,20--,canon
1994_Tournier-Michel_Le-Miroir-des-idees,1994,michel tournier,le miroir des idees,True,male,2016,canon
