character,gender
Gaude-Laurent_Les-Oliviers-du-Negus_<Germain Bricombes-1275>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<je-5>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<Tu-1414>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<Zio Négus-448>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<l' homme-998>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<un jeune homme-1755>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<du prince Max-2533>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<je-1128>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<sir Holburn-1381>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<l' aga-2186>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<dont-3760>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<vous-1544>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<Galande-606>,Female
Chapus-Eugene_Les-soirees-de-Chantilly_<sir Raily-3963>,Male
Chapus-Eugene_Les-soirees-de-Chantilly_<la marquise-727>,Female
Romains-Jules_Les-copains_<son-344>,Male
Romains-Jules_Les-copains_<le patron-22>,Male
Romains-Jules_Les-copains_<Le garçon de nuit-1081>,Male
Romains-Jules_Les-copains_<un homme-1162>,Male
Romains-Jules_Les-copains_<Bénin-1795>,Male
Romains-Jules_Les-copains_<te-162>,Male
Romains-Jules_Les-copains_<Vous-872>,Male
Romains-Jules_Les-copains_<Vercingétorix-1730>,Male
Romains-Jules_Les-copains_<Le Père Lathuile-1395>,Male
Romains-Jules_Les-copains_<Le somnambule-296>,Male
Fabre-Ferdinand_Les-Courbezon_<L' abbé Courbezon-6248>,Male
Fabre-Ferdinand_Les-Courbezon_<l' Avocat-3411>,Male
Fabre-Ferdinand_Les-Courbezon_<Nicolas - Jérôme Vernoubrel-3104>,Male
Fabre-Ferdinand_Les-Courbezon_<Le Cassarottou-5893>,Female
Fabre-Ferdinand_Les-Courbezon_<le curé-6830>,Male
Fabre-Ferdinand_Les-Courbezon_<Sévéraguette-4704>,Female
Fabre-Ferdinand_Les-Courbezon_<l' abbé Courbezon-823>,Male
Fabre-Ferdinand_Les-Courbezon_<Pancoi-6961>,Male
Fabre-Ferdinand_Les-Courbezon_<Antoine Fumat-3253>,Male
Fabre-Ferdinand_Les-Courbezon_<elle-7501>,Female
Gastyne-Jules-de_Le-lys-noir_<un homme-1826>,Male
Gastyne-Jules-de_Le-lys-noir_<La femme vêtue de noir-267>,Female
Gastyne-Jules-de_Le-lys-noir_<—Elle-1404>,Female
Gastyne-Jules-de_Le-lys-noir_<madame de Frémilly-732>,Female
